ID,parent_ID,product_ID,quantity,unitPrice,amount,createdAt,createdBy,modifiedAt,modifiedBy
10409146-8c2c-4184-b7a0-fe3f62a10310,1444c42d-2335-4a5d-a305-d5ce153f047f,15483901-2134-437c-b904-ac326f15d13a,53,7703729456073.32,2184952956944.93,2014-12-19T00:00:00.000Z,createdBy.673qy@example.com,2004-04-19T00:00:00.000Z,modifiedBy.673qy@example.com
10409147-d1d0-4ae0-ad4f-4dc766207408,1444c42d-2335-4a5d-a305-d5ce153f047f,15483901-2134-437c-b904-ac326f15d13a,24,2388156537355.48,9468011464907.72,2002-11-14T00:00:00.000Z,createdBy.673qz@example.org,2011-08-11T00:00:00.000Z,modifiedBy.673qz@example.org
14038057-e6d5-42d6-9fef-ce157c856b80,1445e934-5035-4843-9f5e-0a0389701b53,15483901-2134-437c-b904-ac326f15d13a,78,1314965470959.26,3227591937605.35,2006-10-26T00:00:00.000Z,createdBy.8cvu1@example.net,2021-07-15T00:00:00.000Z,modifiedBy.8cvu1@example.com
14038058-e6cf-446c-bd2b-0bc323366b78,1445e934-5035-4843-9f5e-0a0389701b53,15483901-2134-437c-b904-ac326f15d13a,26,6047136775382.32,8423712089274.7,2002-03-21T00:00:00.000Z,createdBy.8cvu2@example.com,2003-05-05T00:00:00.000Z,modifiedBy.8cvu2@example.net
12421796-5100-4bdd-aef9-43a7dedd54d2,14467c40-1372-46c5-b2b5-02ee8edfc155,15483901-2134-437c-b904-ac326f15d13a,59,6786670276147.38,1070024168251.94,2013-02-02T00:00:00.000Z,createdBy.qmgz@example.com,2017-02-27T00:00:00.000Z,modifiedBy.qmgz@example.org
12421808-3cb6-4c5a-8b36-34200163b4a8,14467c40-1372-46c5-b2b5-02ee8edfc155,15483901-2134-437c-b904-ac326f15d13a,100,5897763854573.38,1897312816272.7,2010-04-20T00:00:00.000Z,createdBy.qmh0@example.com,2005-06-13T00:00:00.000Z,modifiedBy.qmh0@example.org
19951293-f5be-404d-bb48-35783f3675d3,14479216-c5ed-4346-a722-9cef3cb7e139,15483901-2134-437c-b904-ac326f15d13a,88,2543186948766.33,7832752782546.45,2022-03-26T00:00:00.000Z,createdBy.bvmil@example.net,2016-08-25T00:00:00.000Z,modifiedBy.bvmil@example.org
19951294-e1ba-4c44-a216-7776f0daa68e,14479216-c5ed-4346-a722-9cef3cb7e139,15483901-2134-437c-b904-ac326f15d13a,69,9447041268053.16,1363823128030.91,2008-09-03T00:00:00.000Z,createdBy.bvmim@example.org,2022-06-26T00:00:00.000Z,modifiedBy.bvmim@example.net
10457507-6bdb-4875-981c-6e388156c50d,14487496-3f4f-493b-a5e2-342b84bfe6ed,15483901-2134-437c-b904-ac326f15d13a,16,239158243949.56,6941328703697.65,2011-06-01T00:00:00.000Z,createdBy.6852b@example.com,2008-09-03T00:00:00.000Z,modifiedBy.6852b@example.net
10457508-1087-4243-ada2-891bc24570cb,14487496-3f4f-493b-a5e2-342b84bfe6ed,15483901-2134-437c-b904-ac326f15d13a,82,3188571082213.71,8962840700397.83,2017-01-25T00:00:00.000Z,createdBy.6852c@example.net,2015-10-25T00:00:00.000Z,modifiedBy.6852c@example.net
